# Automatic generated file V1.1
# nbClasses = 5 pIntra 0.800 pExtra 0.010
# predicted classes:
# [7, 10, 16, 18, 19, 26, 29, 42, 43, 46]
# [2, 3, 4, 6, 9, 21, 30, 35, 39, 40]
# [1, 5, 17, 20, 23, 25, 28, 31, 33, 44]
# [0, 8, 11, 12, 14, 36, 38, 45, 47]
# [13, 15, 22, 24, 27, 32, 34, 37, 41, 48, 49]
# nbVertices nbEdges
50 182
# dmin dmax
6 9
# src but weight
7 10 0.800
7 19 1.000
7 26 0.800
7 29 0.600
7 42 0.700
7 43 0.600
7 46 0.600
10 16 1.000
10 29 0.900
10 43 0.900
10 46 0.700
16 18 1.000
16 19 0.900
16 26 0.800
16 29 0.900
16 43 0.800
18 19 0.700
18 26 0.600
18 29 0.600
18 43 0.900
18 46 0.800
19 26 0.500
19 29 0.500
19 42 0.500
19 46 0.600
26 29 1.000
26 42 0.600
26 46 1.000
29 42 0.800
42 43 0.900
42 46 0.500
43 46 0.800
2 3 0.800
2 4 0.900
2 6 0.800
2 21 0.900
2 30 0.700
2 35 0.900
2 40 0.500
3 4 1.000
3 6 1.000
3 21 0.500
3 30 1.000
3 35 0.900
4 6 0.700
4 9 1.000
4 40 0.700
6 9 0.500
6 30 0.700
6 40 0.800
9 21 0.600
9 35 0.800
9 39 0.500
9 40 1.000
21 30 1.000
21 35 0.700
21 39 0.900
30 35 0.600
30 39 0.900
30 40 0.500
35 39 1.000
35 40 0.700
39 40 1.000
1 5 0.900
1 17 0.900
1 20 0.600
1 25 0.600
1 28 0.700
1 31 0.600
1 33 0.900
5 17 0.900
5 23 0.500
5 25 0.900
5 28 0.700
5 31 0.800
5 33 0.500
17 20 0.500
17 23 0.700
17 44 0.700
20 23 0.600
20 28 0.500
20 33 0.600
20 44 0.900
23 25 0.500
23 33 0.500
23 44 1.000
25 28 0.800
25 31 0.500
25 33 0.900
25 44 0.600
28 31 0.600
31 33 1.000
31 44 0.800
33 44 0.900
0 8 0.600
0 11 0.700
0 12 0.900
0 14 0.900
0 38 0.800
0 45 0.600
8 11 0.900
8 12 1.000
8 14 1.000
8 38 0.600
11 12 1.000
11 38 0.700
11 45 0.800
11 47 1.000
12 14 1.000
12 36 0.700
12 47 0.800
14 36 0.900
14 47 0.800
36 38 0.500
36 45 0.600
36 47 0.600
38 45 0.500
38 47 0.700
45 47 0.500
13 15 0.900
13 22 0.900
13 24 0.600
13 34 0.900
13 37 0.600
13 41 0.500
13 48 0.500
15 22 1.000
15 24 1.000
15 27 0.500
15 32 0.600
15 34 0.500
15 48 0.500
15 49 0.700
22 24 0.500
22 27 0.900
22 32 0.600
22 49 0.700
24 27 1.000
24 32 0.800
24 34 0.600
24 37 0.900
24 41 0.600
27 32 1.000
27 34 0.900
27 37 0.900
27 41 0.800
27 48 0.600
32 34 0.800
32 41 0.800
32 48 0.600
32 49 0.500
34 37 0.500
34 49 1.000
37 41 0.800
37 48 0.700
37 49 0.800
41 48 0.800
41 49 0.800
48 49 1.000
7 45 0.250
10 14 0.050
16 30 0.050
3 18 0.250
6 19 0.050
5 26 0.050
17 29 0.100
4 42 0.100
23 43 0.200
2 46 0.200
9 27 0.200
21 22 0.100
28 35 0.200
34 39 0.050
1 40 0.100
11 20 0.200
12 25 0.050
31 32 0.200
33 38 0.150
0 44 0.200
8 41 0.150
15 36 0.200
13 47 0.250
# vertex degree
0 7
1 8
2 8
3 7
4 6
5 8
6 7
7 8
8 6
9 7
10 6
11 7
12 7
13 8
14 6
15 9
16 7
17 6
18 7
19 8
20 7
21 7
22 7
23 7
24 8
25 8
26 8
27 9
28 6
29 8
30 8
31 7
32 9
33 8
34 8
35 8
36 6
37 7
38 7
39 6
40 8
41 8
42 7
43 7
44 7
45 6
46 8
47 7
48 7
49 7
