# Automatic generated file V1.1
# nbClasses = 3 pIntra 0.750 pExtra 0.050
# predicted classes:
# [2, 3, 4, 6, 12, 18, 19, 23, 25, 26, 28, 39, 42, 44, 47, 49, 50, 51, 55, 57, 61, 62, 68, 72, 73, 80, 85, 86, 88, 89, 92, 96, 98, 99]
# [0, 1, 5, 13, 15, 16, 17, 21, 24, 27, 30, 31, 34, 35, 36, 37, 38, 40, 43, 45, 46, 52, 54, 56, 58, 59, 63, 70, 74, 76, 78, 84, 90]
# [7, 8, 9, 10, 11, 14, 20, 22, 29, 32, 33, 41, 48, 53, 60, 64, 65, 66, 67, 69, 71, 75, 77, 79, 81, 82, 83, 87, 91, 93, 94, 95, 97]
# nbVertices nbEdges
100 1363
# dmin dmax
24 28
# src but weight
2 3 0.900
2 4 0.800
2 18 0.500
2 19 0.600
2 23 0.600
2 25 0.500
2 26 0.700
2 28 0.500
2 39 0.900
2 42 0.900
2 44 0.600
2 47 0.900
2 51 0.600
2 55 0.500
2 57 0.500
2 61 1.000
2 62 1.000
2 68 0.500
2 72 0.600
2 73 0.500
2 80 0.500
2 85 0.700
2 89 0.500
2 92 0.900
3 4 0.600
3 12 0.700
3 19 1.000
3 23 0.800
3 25 0.600
3 26 0.900
3 39 0.600
3 42 1.000
3 44 0.900
3 47 0.900
3 50 0.800
3 51 0.600
3 55 0.800
3 61 0.800
3 62 0.600
3 68 0.500
3 72 0.500
3 80 1.000
3 85 0.800
3 89 0.700
3 92 0.800
3 96 0.800
3 98 0.800
4 6 1.000
4 12 0.500
4 18 1.000
4 19 1.000
4 23 1.000
4 25 0.500
4 26 0.500
4 28 0.800
4 39 1.000
4 42 0.700
4 44 0.500
4 47 0.600
4 49 0.600
4 50 0.600
4 51 0.900
4 55 0.800
4 61 0.600
4 62 0.800
4 86 0.600
4 89 0.700
6 12 0.800
6 19 0.600
6 23 0.500
6 25 0.800
6 39 0.900
6 42 0.500
6 44 0.500
6 47 1.000
6 49 0.900
6 50 0.500
6 51 0.500
6 55 0.600
6 62 0.600
6 68 0.800
6 72 0.800
6 73 0.800
6 80 0.600
6 85 0.800
6 86 0.500
6 89 0.600
6 96 0.800
6 98 0.500
6 99 0.800
12 18 0.700
12 19 0.800
12 23 0.700
12 25 0.800
12 26 1.000
12 28 1.000
12 39 0.900
12 42 1.000
12 44 1.000
12 47 0.800
12 49 0.600
12 55 0.600
12 72 0.700
12 73 0.600
12 80 0.500
12 85 0.900
12 86 1.000
12 89 0.900
12 96 0.500
12 98 1.000
12 99 0.700
18 19 0.500
18 23 0.500
18 25 0.900
18 26 0.800
18 28 0.900
18 39 0.900
18 42 0.600
18 47 0.500
18 49 0.900
18 55 0.500
18 57 0.600
18 68 0.500
18 72 0.900
18 73 0.500
18 80 1.000
18 85 0.600
18 86 0.800
18 89 0.500
18 96 0.900
18 98 0.600
18 99 0.900
19 23 0.900
19 39 0.500
19 42 0.900
19 44 0.500
19 68 0.800
19 72 1.000
